,id,custom_id,name,url,abbreviation,classification
0,1,875248845569-64,COMITÉ CONSULTIVO CC SUR,https://cc-sud.eu/index.php/es/,CC SUR,
1,2,875248845569-64,ASOCIACIÓN DE ORGANIZACIONES DE PRODUCTORES DE PESCA DEL CANTÁBRICO,,OPES Cantábrico,
2,3,875248845569-64,CONSEJO CONSULTIVO PARA LAS ESPECIES PELÁGICAS,,PELAC,
3,4,805341845171-02,DR4EU,https://dr4eu.org/,,
4,5,513518246200-77,International Investment Funds Association,https://iifa.ca/page/members_poland,,
5,6,1733114388-50,Eurelectric,http://www.eurelectric.org/,,
6,7,1733114388-50,European Energy Forum,http://www.europeanenergyforum.eu/,,
7,8,1733114388-50,European Heat Pump Association,http://www.ehpa.org/,,
8,9,1733114388-50,European Local Fiber Alliance,www.e-lfa.eu,ELFA,
9,10,1733114388-50,WindEurope,https://windeurope.org/,,
10,11,1733114388-50,Global Wind Energy Council,https://gwec.net/,,
11,12,1733114388-50,Solar Power Europe,https://www.solarpowereurope.org/,,
12,13,1733114388-50,Clean Hydrogen Alliance,https://www.ech2a.eu/,,
13,14,284400047930-54,Eurofer,,,
14,15,284400047930-54,Worldsteel Association,,,
15,16,284400047930-54,Czech Confederation of Industry and Transport,,,
16,17,284400047930-54,Chamber of Commerce of the Czech Republic,,,
17,18,266271142555-68,the U.S. Chamber of Commerce,,,
18,19,266271142555-68,the Global Business Alliance,,,
19,20,266271142555-68,,,TSIA,
20,21,266271142555-68,,,SIA,
21,22,266271142555-68,,,SEMI,
22,23,266271142555-68,,,ITIC,
23,24,266271142555-68,the U.S. Taiwan Business Council,,,
24,25,101446646218-71,Bankwatch,https://bankwatch.org/,,
25,26,101446646218-71,Friends of the Earth,https://friendsoftheearth.eu/,,
26,27,974688646195-40,Financial Times,https://www.ft.com/moral-money-forum,,
27,28,313306647241-59,Combat Anti-Semitism Movement,https://combatantisemitism.org/coalition/,,
28,29,991268442758-59,Medtech Europe,,,
29,30,991268442758-59,COCIR,,,
30,31,991268442758-59,Assobiomedica,,Italy,
31,32,991268442758-59,Fenin,,Spain,
32,33,991268442758-59,Medicorindustrien,,DK,
33,34,991268442758-59,Swedishlabtech,,SE,
34,35,991268442758-59,Swissmedtech,,Switzerland,
35,36,991268442758-59,ABHI,,UK,
36,37,991268442758-59,SIDIV,,France,
37,38,991268442758-59,VDGH,,Germany,
38,39,689094544352-49,Deutscher Naturschutzring,https://www.dnr.de/der-dnr/mitglieder/?L=404#section-u,,
39,40,689094544352-49,Klima-Allianz Deutschland,https://www.klima-allianz.de/ueber-uns/unsere-mitglieder/,,
40,41,689094544352-49,European Environmental Bureau,https://eeb.org/membership/our-members/,EEB,
41,42,689094544352-49,Klimaherbst,https://klimaherbst.de/partner/,,
42,43,689094544352-49,No Patents on Seeds,https://www.no-patents-on-seeds.org/de/ueber-uns/mitgliedsorganisationen,,
43,44,689094544352-49,Keine Gentechnik,https://www.keine-gentechnik.de/netzwerk/traeger-unterstuetzer,,
44,45,689094544352-49,Green Legal,https://www.greenlegal.eu/verein/,,
45,46,689094544352-49,Zivilgesellschaft ist gemeinnützig,https://www.zivilgesellschaft-ist-gemeinnuetzig.de/die-allianz/#Europaweit_taetige_Organisationen,,
46,47,689094544352-49,Atommuellreport,https://www.atommuellreport.de/ueber-uns.html,,
47,48,689094544352-49,Archiv Atomerbe,https://www.archiv-atomerbe.de,,
48,49,848499746726-36,FACE Network,https://www.face-network.eu/,,
49,50,899327247243-65,IFOAM International,,IFOAM OE,
50,51,899327247243-65,,,BÖLW,
51,52,899327247243-65,,,AÖL,
52,53,899327247243-65,,,DNR,
53,54,899327247243-65,Forum Fairer Handel,,,
54,55,899327247243-65,FSC,,,
55,56,899327247243-65,FiBL,,,
56,57,861752946103-62,Fur Free Alliance,https://www.furfreealliance.com/,,
57,58,861752946103-62,De Dierencoalitie,https://www.dierencoalitie.nl/organisaties/,,
59,60,359925647207-49,Platformie Good Food Good Farming,,,
60,61,132297048123-76,Gigaeurope,www.gigaeurope.eu,,
61,62,132297048123-76,,www.apritel.org,APRITEL,
62,63,132297048123-76,,www.apdc.pt,APDC,
63,64,56047191389-84,Center for European Policy,,CEPS,
64,65,56047191389-84,European Policy Center,,EPC,
65,66,56047191389-84,American European Community Association,,AECA,
66,67,705589047416-85,PET Europe,,,
67,68,983289442547-36,ARPIM,,,
68,69,983289442547-36,EFPIA,https://www.efpia.eu/,,
69,70,839157644877-97,European Business Organization Worldwide Network,,EBO WWN,
70,71,839157644877-97,EU-Republic of Korea Civil Society Forum,,European Domestic Advisory Group,
71,72,839157644877-97,Foreign Investment Advisory Council of Seoul and Central Government,,,
72,73,227497347796-37,IOE,ioe@ioe-emp.com,,
73,74,227497347796-37,Euromed,Euromed@eesc.europa.eu,,
74,75,581301324565-05,European Tyre and Rim Technical Organisation,www.etrto.org,ETRTO,
75,76,581301324565-05,European Tyre & Rubber Manufacturers' Association,www.etrma.org,ETRMA,
76,77,036509447225-74,Biodynamic Federation Demeter Intenational,www.Demeter.net,IFOAM,
77,78,020396648046-66,FruitVeb,https://fruitveb.hu/,FruitVeb,abbreviation
78,79,020396648046-66,The National Chamber of Agriculture,https://www.nak.hu/,,
79,80,415603942670-06,United Nations,,,
80,81,415603942670-06,International Criminal Court,,ICC,
81,82,921696247696-66,Asociace koroznich inzeniru,,AKI,
82,83,429157047185-81,German Life Sciences Association,https://www.vbio.de/fachgesellschaften,VBIO,
83,84,072341446282-97,Fachverband Metalltechnische Industrie,https://www.metalltechnischeindustrie.at/,,
84,85,072341446282-97,Bundesinnung Metalltechniker,https://www.wko.at/branchen/gewerbe-handwerk/metalltechniker/bundesinnung-metalltechniker.html,,
85,86,072341446282-97,EuroWindoor AISBL,www.eurowindoor.eu,,
86,87,172833946173-81,FIA,www.fia.com,,
87,88,172833946173-81,World Road Association,www.piarc.org,PIARC,
88,89,225491244677-86,,,,
89,90,388687145490-66,World Health Organization,https://www.who.int/,WHO,
90,91,388687145490-66,United Nations,https://www.un.org/en,UN,
91,92,388687145490-66,"United Nations Educational, Scientific and Cultural Organization",https://en.unesco.org/,UNESCO,
92,93,388687145490-66,United Nations Children's Fund,https://www.unicef.org/,UNICEF,
93,94,388687145490-66,United Nations Development Programme,https://www.undp.org/,UNDP,
94,95,388687145490-66,United Nations High Commissioner for Refugees,https://www.unhcr.org/,UNHCR,
95,96,388687145490-66,United Nations Industrial Development Organization,https://www.unido.org/,UNIDO,
96,97,388687145490-66,United Nations Office on Drugs and Crime,https://www.unodc.org/,UNODC,
97,98,388687145490-66,United Nations Population Fund,https://www.unfpa.org/,UNFPA,
98,99,388687145490-66,United Nations Relief and Works Agency for Palestine Refugees in the Near East,https://www.unrwa.org/,UNRWA,
99,100,388687145490-66,United Nations Volunteers,https://www.unv.org/,UNV,
100,101,388687145490-66,United Nations World Food Programme,https://www.wfp.org/,WFP,
101,102,388687145490-66,World Bank Group,https://www.worldbank.org/en/homepage,WBG,
102,103,388687145490-66,World Trade Organization,https://www.wto.org/,WTO,
103,104,699063846749-53,International Organization for Standardization,,ISO,
104,105,699063846749-53,European Committee for Standardization,,CEN,
105,106,735004943045-20,,https://www.istitutopiepoli.it/,,
106,107,735004943045-20,,http://www.fondazioneneuromed.it/,,
107,108,735004943045-20,,https://desir.cfwb.be/home.html,,
108,109,839161947489-52,European Business and Innovation Centre Network,,EBN,
109,110,839161947489-52,European Digital Learning Network,,D-learn,
110,111,817857947673-08,World Health Organization,https://www.who.int/,WHO,
111,112,817857947673-08,United Nations,https://www.un.org/,UN,
112,113,817857947673-08,"United Nations Educational, Scientific and Cultural Organization",https://www.unesco.org/,UNESCO,
113,114,817857947673-08,United Nations Children's Fund,https://www.unicef.org/,UNICEF,
114,115,817857947673-08,United Nations Development Programme,https://www.undp.org/,UNDP,
115,116,817857947673-08,United Nations High Commissioner for Refugees,https://www.unhcr.org/,UNHCR,
116,117,817857947673-08,United Nations Office for the Coordination of Humanitarian Affairs,https://www.unocha.org/,OCHA,
117,118,817857947673-08,United Nations Relief and Works Agency for Palestine Refugees in the Near East,https://www.unrwa.org/,UNRWA,
118,119,817857947673-08,United Nations Women,https://www.unwomen.org/,UN Women,
119,120,817857947673-08,World Food Programme,https://www.wfp.org/,WFP,
120,121,817857947673-08,International Fund for Agricultural Development,https://www.ifad.org/,IFAD,
